registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type,registry_type,noc_status,society_name,plot_number
REG-PRO-410,Bilal Bibi,Zubair Chaudhry,"House 47, F-7, Islamabad",7039624,2023-08-23,20,Industrial,Transfer Letter,Pending,DHA,Plot 200
REG-PRO-411,Amna Raza,Usman Mirza,"House 132, Gulberg, Rawalpindi",6918203,2026-06-14,5,Industrial,Registry,Unapproved,Hayatabad,Plot 468
REG-PRO-412,Imran Hassan,Hamza Chaudhry,"House 145, G-10, Lahore",23928045,2018-01-09,10,Commercial,Transfer Letter,Approved,PECHS,Plot 488
REG-PRO-413,Muhammad Ahmed,Waseem Malik,"House 136, Hayatabad, Islamabad",15229581,2018-06-22,5,Agricultural,Allotment Letter,Approved,F-7,Plot 301
REG-PRO-414,Amna Qureshi,Muhammad Abbasi,"House 129, Johar Town, Lahore",10659263,2018-11-14,5,Commercial,Registry,Approved,F-7,Plot 286
REG-PRO-415,Sana Malik,Muhammad Abbasi,"House 143, Hayatabad, Peshawar",11994373,2026-12-13,7,Residential,Registry,Approved,F-7,Plot 299
REG-PRO-416,Hamza Abbasi,Sana Qureshi,"House 127, Clifton, Peshawar",15857475,2021-12-20,5,Agricultural,Transfer Letter,Approved,Clifton,Plot 64
REG-PRO-417,Hamza Rizvi,Nadia Baig,"House 110, Johar Town, Islamabad",16748830,2023-03-19,20,Commercial,Allotment Letter,Approved,F-7,Plot 435
REG-PRO-418,Tariq Qureshi,Usman Rizvi,"House 89, Bahria Town, Lahore",6495997,2025-11-06,5,Residential,File,Approved,F-7,Plot 376
REG-PRO-419,Ayesha Javed,Muhammad Siddiqui,"House 147, Clifton, Lahore",27944480,2022-08-09,7,Residential,Transfer Letter,Approved,DHA,Plot 490
REG-PRO-420,Saima Sheikh,Ali Raza,"House 112, G-10, Rawalpindi",20084197,2019-03-23,14,Industrial,File,Approved,Bahria Town,Plot 146
REG-PRO-421,Waseem Sheikh,Fatima Sheikh,"House 49, G-10, Karachi",29852958,2026-10-19,14,Residential,Registry,Approved,Clifton,Plot 116
REG-PRO-422,Imran Ahmed,Hina Hassan,"House 55, Bahria Town, Islamabad",22369914,2018-09-26,5,Industrial,File,Approved,PECHS,Plot 265
REG-PRO-423,Ayesha Sheikh,Amna Ahmed,"House 132, Clifton, Lahore",28243919,2022-10-17,20,Agricultural,Registry,Approved,Hayatabad,Plot 134
REG-PRO-424,Usman Khan,Hina Khan,"House 105, Clifton, Rawalpindi",26027921,2019-01-17,7,Industrial,File,Pending,Hayatabad,Plot 283
REG-PRO-425,Amna Ahmed,Imran Raza,"House 13, Nazimabad, Karachi",27794046,2018-09-01,7,Industrial,File,Approved,Gulberg,Plot 124
REG-PRO-426,Fatima Iqbal,Nadia Baig,"House 150, Pechs, Islamabad",5822819,2022-09-18,5,Residential,File,Unapproved,Bahria Town,Plot 297
REG-PRO-427,Zainab Qureshi,Waseem Baig,"House 23, G-10, Islamabad",13237214,2019-04-09,5,Commercial,Registry,Approved,PECHS,Plot 116
REG-PRO-428,Ayesha Iqbal,Tariq Nawaz,"House 55, G-10, Faisalabad",20081863,2022-11-13,5,Agricultural,Transfer Letter,Approved,PECHS,Plot 346
REG-PRO-429,Ayesha Iqbal,Ahmed Javed,"House 96, Bahria Town, Peshawar",12967522,2018-06-10,5,Residential,Registry,Pending,F-7,Plot 357
REG-PRO-430,Nadia Hassan,Sana Siddiqui,"House 93, Nazimabad, Islamabad",16273484,2019-03-08,20,Industrial,Registry,Approved,DHA,Plot 167
REG-PRO-431,Hina Bibi,Saima Butt,"House 95, Johar Town, Karachi",9142972,2018-12-28,10,Commercial,Registry,Approved,F-7,Plot 136
REG-PRO-432,Hina Ahmed,Zainab Khan,"House 55, Nazimabad, Islamabad",27568003,2024-02-03,7,Agricultural,Registry,Approved,DHA,Plot 35
REG-PRO-433,Zainab Qureshi,Hamza Abbasi,"House 7, Gulberg, Islamabad",16138433,2022-06-28,20,Agricultural,File,Pending,DHA,Plot 222
REG-PRO-434,Ayesha Rizvi,Hamza Iqbal,"House 57, Bahria Town, Faisalabad",7294298,2025-10-24,14,Commercial,Allotment Letter,Approved,Hayatabad,Plot 130
REG-PRO-435,Sana Mirza,Hamza Chaudhry,"House 106, Nazimabad, Peshawar",7346282,2020-06-27,20,Residential,Transfer Letter,Unapproved,F-7,Plot 238
REG-PRO-436,Bilal Ahmed,Ayesha Bibi,"House 101, Nazimabad, Rawalpindi",4550723,2023-01-14,7,Residential,Registry,Approved,Bahria Town,Plot 120
REG-PRO-437,Saima Qureshi,Ahmed Raza,"House 114, Pechs, Rawalpindi",26602712,2019-07-16,10,Residential,Registry,Approved,Bahria Town,Plot 279
REG-PRO-438,Ayesha Sheikh,Hina Malik,"House 143, Nazimabad, Rawalpindi",8055028,2023-12-24,20,Commercial,File,Pending,Bahria Town,Plot 78
REG-PRO-439,Fatima Sheikh,Saima Javed,"House 139, Hayatabad, Karachi",20942905,2020-03-16,14,Commercial,Allotment Letter,Approved,Gulberg,Plot 155
REG-PRO-440,Hamza Abbasi,Zainab Abbasi,"House 1, G-10, Peshawar",5551219,2023-03-23,7,Industrial,Transfer Letter,Approved,DHA,Plot 46
REG-PRO-441,Sana Hassan,Bilal Malik,"House 71, Johar Town, Lahore",12687917,2019-06-27,20,Industrial,Allotment Letter,Approved,Hayatabad,Plot 279
REG-PRO-442,Saima Ahmed,Saima Mirza,"House 90, Hayatabad, Lahore",24236943,2026-06-12,5,Residential,Transfer Letter,Approved,PECHS,Plot 36
REG-PRO-443,Amna Nawaz,Bilal Hassan,"House 90, Nazimabad, Peshawar",29461605,2021-02-13,5,Commercial,Transfer Letter,Approved,PECHS,Plot 6
REG-PRO-444,Zainab Abbasi,Waseem Qureshi,"House 17, Clifton, Islamabad",26980688,2019-09-28,7,Agricultural,File,Approved,PECHS,Plot 104
REG-PRO-445,Usman Rizvi,Ayesha Iqbal,"House 76, Clifton, Faisalabad",27732545,2020-09-25,5,Residential,File,Approved,DHA,Plot 57
REG-PRO-446,Imran Raza,Sana Qureshi,"House 51, DHA, Faisalabad",5699133,2021-06-04,10,Industrial,Allotment Letter,Approved,F-7,Plot 357
REG-PRO-447,Ayesha Hassan,Waseem Mirza,"House 80, G-10, Faisalabad",15319829,2022-05-14,7,Residential,Registry,Approved,Clifton,Plot 266
REG-PRO-448,Ahmed Malik,Usman Chaudhry,"House 124, Hayatabad, Peshawar",20507081,2018-03-05,7,Commercial,Transfer Letter,Approved,Bahria Town,Plot 97
REG-PRO-449,Hina Rizvi,Sana Qureshi,"House 137, Johar Town, Karachi",26135804,2024-01-15,14,Commercial,Allotment Letter,Pending,Clifton,Plot 163
REG-PRO-450,Bilal Baig,Zainab Rizvi,"House 46, Pechs, Lahore",7481660,2023-07-02,5,Agricultural,Registry,Approved,Clifton,Plot 424
REG-PRO-451,Tariq Butt,Zainab Butt,"House 110, Nazimabad, Rawalpindi",6209201,2021-05-11,7,Agricultural,Allotment Letter,Approved,DHA,Plot 299
REG-PRO-452,Muhammad Baig,Amna Ahmed,"House 45, G-10, Karachi",22393565,2019-02-15,7,Agricultural,Registry,Unapproved,Local Scheme,Plot 104
REG-PRO-453,Fatima Siddiqui,Tariq Chaudhry,"House 125, Clifton, Rawalpindi",19776434,2024-01-02,10,Industrial,Registry,Approved,Bahria Town,Plot 444
REG-PRO-454,Hamza Abbasi,Ayesha Javed,"House 70, G-10, Lahore",13820219,2026-06-05,7,Residential,Allotment Letter,Unapproved,Bahria Town,Plot 39
REG-PRO-455,Amna Hassan,Ayesha Javed,"House 130, Gulberg, Lahore",8578940,2023-04-07,14,Residential,File,Approved,Gulberg,Plot 289
REG-PRO-456,Ayesha Abbasi,Hina Javed,"House 120, Pechs, Islamabad",20034133,2022-04-17,10,Residential,Allotment Letter,Unapproved,F-7,Plot 21
REG-PRO-457,Nadia Butt,Sana Baig,"House 101, G-10, Faisalabad",9805877,2020-11-04,14,Commercial,Registry,Approved,Bahria Town,Plot 152
REG-PRO-458,Imran Iqbal,Hina Hassan,"House 142, F-7, Karachi",13644870,2018-10-01,20,Residential,File,Approved,DHA,Plot 496
REG-PRO-459,Waseem Mirza,Tariq Ahmed,"House 21, G-10, Islamabad",23271737,2026-09-04,5,Industrial,Allotment Letter,Approved,Local Scheme,Plot 314
REG-PRO-460,Hina Raza,Ayesha Sheikh,"House 17, Clifton, Islamabad",14854098,2026-03-03,14,Commercial,Transfer Letter,Unapproved,F-7,Plot 374
REG-PRO-461,Hamza Raza,Hina Khan,"House 106, Clifton, Lahore",26028431,2019-07-17,20,Industrial,File,Pending,F-7,Plot 390
REG-PRO-462,Saima Baig,Saima Sheikh,"House 132, DHA, Karachi",13845175,2019-08-14,5,Agricultural,Registry,Approved,Clifton,Plot 151
REG-PRO-463,Zubair Raza,Bilal Javed,"House 112, Nazimabad, Rawalpindi",6087126,2025-11-25,10,Agricultural,File,Approved,Local Scheme,Plot 443
REG-PRO-464,Zainab Ahmed,Fatima Abbasi,"House 143, Nazimabad, Lahore",20365725,2022-02-05,5,Industrial,Registry,Approved,DHA,Plot 451
REG-PRO-465,Nadia Rizvi,Saima Qureshi,"House 108, DHA, Islamabad",10940138,2018-05-26,5,Agricultural,File,Approved,Hayatabad,Plot 57
