fbr_id,full_name,declared_income_pkr,tax_paid_pkr,filer_status,reported_address,phone_number,income_source,wealth_source,occupation,years_as_nonfiler,has_bank_account
FBR-5098,Amna Raza,240000,24000,Non-ATL,"House 100, Gulberg, Karachi",0339-7224540,Prize Bond,Cash,Clerk,5,True
FBR-5099,Hina Bhatti,0,0,Non-ATL,"House 105, Model Town, Multan",0327-1548888,Agriculture,Gift,Student,3,True
FBR-5100,Asad Chaudhry,3000000,300000,ATL,"House 16, Gulberg, Faisalabad",0335-5628522,Business,Savings,Student,0,True
FBR-5101,Muhammad Sheikh,3000000,300000,ATL,"House 86, Clifton, Gujranwala",0325-3112652,Prize Bond,Gift,Teacher,0,True
FBR-5102,Imran Raza,5000000,500000,ATL,"House 153, Clifton, Hyderabad",0310-5651899,Business,Gift,Retired,0,True
FBR-5103,Ayesha Khan,3000000,300000,ATL,"House 92, Gulberg, Islamabad",0325-6431983,Salary,Gift,Businessman,0,True
FBR-5104,Sobia Malik,960000,96000,ATL,"House 122, Satellite Town, Islamabad",0338-7074006,Prize Bond,Prize Bond,Teacher,0,False
FBR-5105,Farah Abbasi,1800000,180000,Non-ATL,"House 78, Clifton, Sialkot",0339-1522621,Salary,Cash,Housewife,3,True
FBR-5106,Ahmed Butt,960000,96000,Non-ATL,"House 156, Satellite Town, Quetta",0319-2101965,Business,Foreign Remittance,Clerk,5,True
FBR-5107,Waseem Bhatti,1800000,180000,Non-ATL,"House 111, Hayatabad, Multan",0316-2919549,Prize Bond,Gift,Housewife,3,True
FBR-5108,Nadia Ahmed,5000000,500000,ATL,"House 81, G-10, Multan",0337-6243275,Agriculture,Foreign Remittance,Doctor,0,False
FBR-5109,Nadia Ahmed,5000000,500000,Non-ATL,"House 191, Gulberg, Karachi",0333-3182975,Prize Bond,Savings,Clerk,4,True
FBR-5110,Farah Baig,960000,96000,ATL,"House 185, Gulberg, Gujranwala",0313-5825620,Prize Bond,Foreign Remittance,Unemployed,0,True
FBR-5111,Ayesha Nawaz,240000,24000,Non-ATL,"House 58, Nazimabad, Hyderabad",0316-6873938,Prize Bond,Foreign Remittance,Teacher,6,True
FBR-5112,Amna Bhatti,5000000,500000,ATL,"House 158, Clifton, Hyderabad",0345-1440466,Prize Bond,Foreign Remittance,Engineer,0,True
FBR-5113,Imran Chaudhry,5000000,500000,ATL,"House 2, Satellite Town, Peshawar",0321-3403361,Prize Bond,Cash,Teacher,0,True
FBR-5114,Ahmed Abbasi,0,0,Non-ATL,"House 56, Model Town, Sukkur",0334-8043620,Rental,Foreign Remittance,Doctor,2,True
FBR-5115,Rabia Malik,5000000,500000,ATL,"House 14, G-10, Sukkur",0319-3640899,Prize Bond,Savings,Shopkeeper,0,True
FBR-5116,Rabia Mirza,3000000,300000,ATL,"House 107, Johar Town, Peshawar",0327-4616647,Prize Bond,Savings,Unemployed,0,False
FBR-5117,Hina Abbasi,3000000,300000,ATL,"House 171, F-7, Karachi",0329-1761976,Business,Cash,Clerk,0,True
FBR-5118,Usman Raza,480000,48000,Non-ATL,"House 196, Clifton, Lahore",0326-5856117,Agriculture,Savings,Engineer,3,False
FBR-5119,Hamza Abbasi,960000,96000,ATL,"House 144, Bahria Town, Islamabad",0332-2209226,Rental,Savings,Housewife,0,True
FBR-5120,Nadia Soomro,5000000,500000,ATL,"House 104, Gulberg, Quetta",0336-5857259,Salary,Cash,Engineer,0,True
FBR-5121,Naveed Chaudhry,1800000,180000,ATL,"House 23, Cantt, Islamabad",0337-2776088,Business,Cash,Clerk,0,False
FBR-5122,Sobia Butt,960000,96000,ATL,"House 57, Gulberg, Sialkot",0331-3820798,Salary,Prize Bond,Shopkeeper,0,True
FBR-5123,Saima Chaudhry,240000,24000,Non-ATL,"House 187, Nazimabad, Sialkot",0319-4963933,Salary,Gift,Businessman,1,True
FBR-5124,Ahmed Hassan,5000000,500000,ATL,"House 198, Bahria Town, Hyderabad",0341-8783840,Prize Bond,Prize Bond,Student,0,True
FBR-5125,Zubair Malik,240000,24000,Non-ATL,"House 121, G-10, Gujranwala",0338-6080483,Agriculture,Prize Bond,Engineer,2,True
FBR-5126,Saima Iqbal,960000,96000,Non-ATL,"House 20, Johar Town, Peshawar",0315-9507186,Rental,Cash,Clerk,4,True
FBR-5127,Imran Bhatti,1800000,180000,ATL,"House 122, Cantt, Quetta",0342-3531028,Salary,Cash,Teacher,0,True
FBR-5128,Ali Bibi,1800000,180000,ATL,"House 182, Gulberg, Sukkur",0338-8372274,Prize Bond,Prize Bond,Clerk,0,True
FBR-5129,Tariq Baig,480000,48000,Non-ATL,"House 199, G-10, Faisalabad",0331-1878547,Agriculture,Savings,Unemployed,0,False
FBR-5130,Rabia Raza,3000000,300000,ATL,"House 86, F-7, Peshawar",0315-3372774,Agriculture,Foreign Remittance,Shopkeeper,0,False
FBR-5131,Sana Rizvi,3000000,300000,ATL,"House 97, Hayatabad, Islamabad",0331-3144023,Prize Bond,Savings,Shopkeeper,0,False
FBR-5132,Saima Iqbal,0,0,Non-ATL,"House 47, G-10, Sialkot",0323-6733317,Rental,Gift,Driver,1,True
FBR-5133,Waseem Rizvi,5000000,500000,ATL,"House 190, F-7, Karachi",0343-1633297,Agriculture,Prize Bond,Doctor,0,False
FBR-5134,Naveed Bhatti,240000,24000,Non-ATL,"House 43, Bahria Town, Islamabad",0338-1733037,Rental,Foreign Remittance,Shopkeeper,5,True
FBR-5135,Sobia Mirza,480000,48000,Non-ATL,"House 60, Hayatabad, Quetta",0344-5012581,Agriculture,Cash,Driver,2,False
FBR-5136,Tariq Abbasi,480000,48000,Non-ATL,"House 136, Cantt, Quetta",0336-3718884,Business,Prize Bond,Doctor,6,True
FBR-5137,Amna Ahmed,960000,96000,ATL,"House 183, Model Town, Lahore",0343-3091745,Agriculture,Savings,Accountant,0,True
FBR-5138,Nadia Malik,1800000,180000,Non-ATL,"House 57, Johar Town, Peshawar",0338-6865064,Salary,Cash,Engineer,3,True
FBR-5139,Saima Bibi,0,0,Non-ATL,"House 8, Pechs, Rawalpindi",0330-2662338,Agriculture,Gift,Doctor,0,True
FBR-5140,Naveed Nawaz,5000000,500000,Non-ATL,"House 115, Satellite Town, Quetta",0349-1088100,Salary,Savings,Businessman,1,True
FBR-5141,Fatima Iqbal,1800000,180000,ATL,"House 61, Satellite Town, Sialkot",0329-3044276,Salary,Gift,Housewife,0,False
FBR-5142,Rabia Rizvi,5000000,500000,ATL,"House 5, Gulberg, Karachi",0342-5059048,Business,Foreign Remittance,Housewife,0,True
FBR-5143,Kashif Baig,240000,24000,Non-ATL,"House 48, G-10, Hyderabad",0315-9782613,Agriculture,Savings,Retired,4,True
FBR-5144,Tariq Chaudhry,960000,96000,Non-ATL,"House 65, Garden Town, Multan",0311-6991041,Salary,Foreign Remittance,Driver,5,True
FBR-5145,Ali Chaudhry,5000000,500000,ATL,"House 140, Satellite Town, Hyderabad",0331-3937508,Rental,Cash,Shopkeeper,0,True
FBR-5146,Zubair Sheikh,3000000,300000,ATL,"House 76, Gulberg, Islamabad",0322-1734947,Business,Savings,Unemployed,0,True
FBR-5147,Bilal Sheikh,5000000,500000,ATL,"House 193, Pechs, Sialkot",0322-5800144,Agriculture,Savings,Shopkeeper,0,True
FBR-5148,Tariq Mirza,5000000,500000,ATL,"House 99, Gulberg, Peshawar",0331-4134272,Rental,Cash,Unemployed,0,True
FBR-5149,Rabia Hassan,960000,96000,Non-ATL,"House 140, Satellite Town, Karachi",0328-6389033,Salary,Savings,Unemployed,5,True
FBR-5150,Zainab Mirza,1800000,180000,ATL,"House 90, Johar Town, Peshawar",0338-1710601,Agriculture,Prize Bond,Housewife,0,True
FBR-5151,Ahmed Qureshi,0,0,Non-ATL,"House 94, Cantt, Gujranwala",0342-3684131,Salary,Gift,Clerk,5,False
FBR-5152,Hamza Chaudhry,0,0,Non-ATL,"House 93, Bahria Town, Lahore",0334-1543335,Prize Bond,Gift,Shopkeeper,3,True
FBR-5153,Ayesha Abbasi,5000000,500000,Non-ATL,"House 94, Johar Town, Faisalabad",0335-6274512,Agriculture,Gift,Teacher,0,True
FBR-5154,Fatima Javed,960000,96000,ATL,"House 199, Nazimabad, Quetta",0326-8487220,Business,Prize Bond,Businessman,0,False
FBR-5155,Ahmed Mirza,240000,24000,Non-ATL,"House 45, Gulberg, Rawalpindi",0338-2472884,Agriculture,Foreign Remittance,Lawyer,0,True
FBR-5156,Naveed Hassan,240000,24000,Non-ATL,"House 93, Garden Town, Peshawar",0342-4762150,Salary,Gift,Accountant,1,True
FBR-5157,Amna Soomro,480000,48000,Non-ATL,"House 95, DHA, Quetta",0339-3177199,Prize Bond,Savings,Teacher,2,False
FBR-5158,Nadia Soomro,960000,96000,ATL,"House 19, Satellite Town, Sukkur",0318-6318841,Salary,Cash,Student,0,True
FBR-5159,Kashif Hassan,5000000,500000,ATL,"House 197, Garden Town, Islamabad",0318-8258130,Prize Bond,Savings,Teacher,0,True
FBR-5160,Imran Bibi,240000,24000,Non-ATL,"House 89, Bahria Town, Peshawar",0343-5765539,Salary,Foreign Remittance,Driver,5,True
FBR-5161,Rabia Rizvi,480000,48000,Non-ATL,"House 24, Model Town, Islamabad",0342-3829240,Prize Bond,Prize Bond,Doctor,1,True
FBR-5162,Ahmed Sheikh,5000000,500000,ATL,"House 165, DHA, Hyderabad",0346-5440189,Business,Prize Bond,Housewife,0,True
FBR-5163,Sana Nawaz,1800000,180000,Non-ATL,"House 63, Model Town, Quetta",0335-5990112,Rental,Savings,Lawyer,0,True
FBR-5164,Imran Bhatti,960000,96000,ATL,"House 37, Pechs, Quetta",0330-6357240,Agriculture,Cash,Doctor,0,True
FBR-5165,Imran Bibi,0,0,Non-ATL,"House 120, Nazimabad, Sialkot",0317-5487430,Rental,Gift,Doctor,0,True
FBR-5166,Hamza Hassan,5000000,500000,ATL,"House 84, Pechs, Peshawar",0346-6246485,Business,Gift,Student,0,False
FBR-5167,Tariq Abbasi,960000,96000,Non-ATL,"House 118, F-7, Quetta",0325-4609524,Prize Bond,Foreign Remittance,Engineer,0,True
FBR-5168,Hina Iqbal,5000000,500000,ATL,"House 138, Hayatabad, Quetta",0310-2803501,Rental,Gift,Businessman,0,True
FBR-5169,Tariq Sheikh,0,0,Non-ATL,"House 146, G-10, Multan",0345-4265774,Agriculture,Prize Bond,Businessman,0,False
FBR-5170,Rabia Bhatti,5000000,500000,ATL,"House 31, Johar Town, Sialkot",0318-2622046,Rental,Foreign Remittance,Accountant,0,True
FBR-5171,Rabia Abbasi,5000000,500000,Non-ATL,"House 103, G-10, Sialkot",0342-1675365,Salary,Savings,Doctor,5,True
FBR-5172,Waseem Raza,960000,96000,Non-ATL,"House 84, Nazimabad, Quetta",0349-6344047,Business,Cash,Clerk,5,True
FBR-5173,Amna Nawaz,1800000,180000,ATL,"House 182, G-10, Hyderabad",0346-6029651,Rental,Savings,Unemployed,0,True
FBR-5174,Sobia Khan,960000,96000,ATL,"House 153, Gulberg, Gujranwala",0340-5454861,Prize Bond,Prize Bond,Driver,0,True
FBR-5175,Waseem Bhatti,240000,24000,Non-ATL,"House 199, Johar Town, Hyderabad",0334-3479264,Business,Savings,Clerk,5,True
FBR-5176,Ayesha Baig,960000,96000,ATL,"House 177, DHA, Rawalpindi",0323-7884990,Prize Bond,Prize Bond,Student,0,True
FBR-5177,Imran Nawaz,1800000,180000,Non-ATL,"House 135, Bahria Town, Sukkur",0334-6263895,Business,Cash,Retired,2,True
FBR-5178,Asad Javed,5000000,500000,ATL,"House 157, Cantt, Gujranwala",0340-4225657,Business,Foreign Remittance,Retired,0,True
FBR-5179,Usman Nawaz,5000000,500000,Non-ATL,"House 82, F-7, Rawalpindi",0340-6851946,Prize Bond,Foreign Remittance,Businessman,0,False
FBR-5180,Ayesha Iqbal,480000,48000,Non-ATL,"House 11, Garden Town, Multan",0328-2325893,Agriculture,Cash,Shopkeeper,2,False
FBR-5181,Amna Javed,5000000,500000,ATL,"House 36, Clifton, Rawalpindi",0316-5014486,Business,Savings,Shopkeeper,0,True
FBR-5182,Fatima Baig,0,0,Non-ATL,"House 85, Clifton, Gujranwala",0340-2686863,Business,Savings,Retired,1,False
FBR-5183,Sana Butt,960000,96000,ATL,"House 74, Johar Town, Gujranwala",0313-2500901,Prize Bond,Gift,Retired,0,True
FBR-5184,Ali Qureshi,5000000,500000,Non-ATL,"House 127, Pechs, Islamabad",0321-5856449,Salary,Savings,Businessman,4,True
FBR-5185,Amna Abbasi,960000,96000,ATL,"House 127, F-7, Faisalabad",0318-9459284,Rental,Foreign Remittance,Driver,0,True
FBR-5186,Bilal Hassan,3000000,300000,ATL,"House 4, Bahria Town, Faisalabad",0331-5949685,Prize Bond,Gift,Doctor,0,False
FBR-5187,Ahmed Qureshi,480000,48000,Non-ATL,"House 172, Nazimabad, Multan",0316-4100114,Business,Cash,Unemployed,1,True
FBR-5188,Zubair Javed,240000,24000,Non-ATL,"House 85, Pechs, Peshawar",0329-1191859,Agriculture,Foreign Remittance,Lawyer,1,True
FBR-5189,Tariq Abbasi,960000,96000,ATL,"House 181, Gulberg, Gujranwala",0329-2969909,Agriculture,Foreign Remittance,Clerk,0,True
FBR-5190,Sobia Bhatti,960000,96000,Non-ATL,"House 96, Bahria Town, Rawalpindi",0336-8899184,Prize Bond,Gift,Accountant,1,True
FBR-5191,Ahmed Soomro,1800000,180000,ATL,"House 29, Johar Town, Sialkot",0313-9480665,Business,Prize Bond,Retired,0,True
FBR-5192,Fatima Siddiqui,5000000,500000,ATL,"House 184, G-10, Islamabad",0347-9201172,Salary,Prize Bond,Student,0,True
FBR-5193,Kashif Sheikh,1800000,180000,ATL,"House 144, Bahria Town, Quetta",0339-6170227,Salary,Cash,Businessman,0,True
FBR-5194,Nadia Chaudhry,1800000,180000,Non-ATL,"House 180, Clifton, Sukkur",0314-2010921,Salary,Cash,Engineer,2,False
