master_person_id,full_name,city,reported_address,address_id,phone_number,declared_income_pkr,tax_paid_pkr,filer_status,occupation,income_source,wealth_source,years_as_nonfiler,has_bank_account,fbr_id,vehicle_count,max_vehicle_cc,vehicle_make_model,import_type,declared_import_value_pkr,vehicle_registration_year,property_count,total_property_value,area_marla,registry_type,registry_no,noc_status,transfer_count,years_active,property_transfer_year,buyer_name,avg_monthly_bill_pkr,annual_utility_bill,total_asset_value,deviation_score,risk_category,top_risk_factor,total_assets_val
PK-0019,Muhammad Sheikh,Faisalabad,"House 113, Clifton, Faisalabad",UNKNOWN,0340-7563734,480000.0,48000.0,Non-ATL,Retired,Agriculture,Cash,2,True,FBR-1021,1,1500.0,Toyota Yaris,Imported,0.0,2022,1,6684234.0,5.0,Registry,,Pending,1,2,2025,,30600.0,367200.0,9684234.0,48.6,MEDIUM,"Benami Proxy, Dc Underinvoicing, Illegal Society",9684234.0
PK-0020,Tariq Butt,Karachi,"House 98, Johar Town, Karachi",UNKNOWN,0326-7915463,0.0,0.0,Non-ATL,Businessman,Agriculture,Foreign Remittance,0,True,FBR-1022,2,1300.0,Suzuki WagonR,Local,0.0,2022,2,28979850.0,14.0,File,,Unapproved,2,2,2025,,39363.66666666666,472364.0,34979850.0,64.4,MEDIUM,"Dc Underinvoicing, Hawala Signature, Section 111 Abuse",34979850.0
PK-0021,Zubair Iqbal,Faisalabad,"House 80, Pechs, Faisalabad",UNKNOWN,0344-8077431,240000.0,24000.0,Non-ATL,Unemployed,Prize Bond,Savings,6,True,FBR-1061,2,2000.0,Toyota Prado,Local,0.0,2024,2,33143215.0,34.0,Transfer Letter,,Approved,2,2,2025,,18308.5,219702.0,49143215.0,65.7,HIGH,"Benami Proxy, Dc Underinvoicing, Hawala Signature",49143215.0
PK-0022,Saima Rizvi,Karachi,"House 43, Nazimabad, Karachi",UNKNOWN,0338-2972749,1800000.0,180000.0,ATL,Unemployed,Business,Prize Bond,0,False,FBR-1403,6,3000.0,Toyota Yaris,Imported,0.0,2025,6,100645585.0,74.0,Registry,,Pending,6,2,2025,,31539.25,378471.0,190645585.0,86.7,CRITICAL,"Benami Proxy, Dc Underinvoicing, Illegal Society",190645585.0
PK-0023,Hina Malik,Islamabad,"House 118, Nazimabad, Islamabad",UNKNOWN,0329-7308363,480000.0,48000.0,Non-ATL,Retired,Rental,Savings,1,True,FBR-1025,1,1800.0,Honda Civic,Imported,0.0,2026,1,14621395.0,14.0,Registry,,Approved,1,2,2025,,56448.0,677376.0,19621395.0,52.4,MEDIUM,"Benami Proxy, Dc Underinvoicing, Nonfiler Surcharge",19621395.0
PK-0024,Imran Chaudhry,Faisalabad,"House 40, F-7, Faisalabad",UNKNOWN,0334-7145680,480000.0,48000.0,Non-ATL,Engineer,Salary,Foreign Remittance,0,True,FBR-1045,5,3000.0,Toyota Fortuner,Local,0.0,2023,3,37337055.0,35.0,Allotment Letter,,Approved,3,2,2025,,26806.85714285714,321682.2857142857,112337055.0,74.9,HIGH,"Dc Underinvoicing, Hawala Signature, Section 111 Abuse",112337055.0
PK-0025,Hina Abbasi,Lahore,"House 32, Bahria Town, Lahore",UNKNOWN,0341-8898323,0.0,0.0,Non-ATL,Retired,Prize Bond,Savings,6,True,FBR-1027,1,2700.0,Toyota Fortuner,Local,0.0,2020,1,8539268.0,7.0,Registry,,Approved,1,2,2025,,59203.0,710436.0,18539268.0,63.8,MEDIUM,"Benami Proxy, Dc Underinvoicing, Nonfiler Surcharge",18539268.0
PK-0026,Bilal Mirza,Faisalabad,"House 143, Nazimabad, Faisalabad",UNKNOWN,0341-9628019,1800000.0,180000.0,ATL,Driver,Rental,Foreign Remittance,0,False,FBR-1208,2,1300.0,Toyota Corolla,Imported,0.0,2024,2,30541291.0,21.0,Transfer Letter,,Approved,2,2,2025,,43221.0,518652.0,36541291.0,66.3,HIGH,"Benami Proxy, Dc Underinvoicing, Section 111 Abuse",36541291.0
PK-0027,Bilal Abbasi,Karachi,"House 118, Pechs, Karachi",UNKNOWN,0338-2529720,240000.0,24000.0,Non-ATL,Doctor,Business,Gift,0,True,FBR-1104,2,1000.0,Suzuki WagonR,Imported,0.0,2026,2,32772971.0,21.0,File,,Approved,2,2,2025,,33445.25,401343.0,37172971.0,65.9,HIGH,"Dc Underinvoicing, Hawala Signature, Gift Declaration",37172971.0
PK-0028,Zubair Abbasi,Peshawar,"House 132, F-7, Peshawar",UNKNOWN,0342-5299632,480000.0,48000.0,Non-ATL,Doctor,Rental,Foreign Remittance,5,False,FBR-1030,1,1500.0,Toyota Yaris,Local,0.0,2022,1,28011190.0,10.0,File,,Approved,1,2,2025,,32898.0,394776.0,31011190.0,60.4,MEDIUM,"Hawala Signature, Dc Underinvoicing, Section 111 Abuse",31011190.0
PK-0029,Usman Raza,Peshawar,"House 41, Nazimabad, Peshawar",UNKNOWN,0333-1167367,3000000.0,300000.0,ATL,Engineer,Salary,Cash,0,True,FBR-1031,2,2000.0,Toyota Prado,Imported,0.0,2024,2,40632228.0,25.0,Registry,,Pending,2,2,2025,,46476.5,557718.0,56632228.0,46.3,MEDIUM,"Dc Underinvoicing, Illegal Society, Rental Concealment",56632228.0
PK-0030,Imran Qureshi,Karachi,"House 13, Johar Town, Karachi",UNKNOWN,0311-9220588,960000.0,96000.0,Non-ATL,Doctor,Salary,Foreign Remittance,5,True,FBR-1032,1,2700.0,Toyota Fortuner,Local,0.0,2024,1,22605292.0,7.0,Allotment Letter,,Pending,1,2,2025,,54919.0,659028.0,32605292.0,62.3,MEDIUM,"Dc Underinvoicing, Section 111 Abuse, File Trading",32605292.0
PK-0031,Tariq Siddiqui,Rawalpindi,"House 102, G-10, Rawalpindi",UNKNOWN,0319-4635907,960000.0,96000.0,ATL,Doctor,Prize Bond,Gift,0,True,FBR-1033,1,1800.0,Toyota Corolla Grande,Local,0.0,2023,1,28167999.0,5.0,Transfer Letter,,Unapproved,1,2,2025,,46256.0,555072.0,33167999.0,55.2,MEDIUM,"Dc Underinvoicing, Gift Declaration, Illegal Society",33167999.0
PK-0032,Imran Butt,Karachi,"House 133, DHA, Karachi",UNKNOWN,0312-2699241,240000.0,24000.0,Non-ATL,Driver,Business,Gift,3,True,FBR-1038,2,1000.0,Suzuki WagonR,Imported,0.0,2019,1,11983144.0,14.0,Transfer Letter,,Approved,1,2,2025,,28459.666666666668,341516.0,16383144.0,62.6,MEDIUM,"Benami Proxy, Dc Underinvoicing, File Trading",16383144.0
PK-0033,Fatima Mirza,Lahore,"House 31, Hayatabad, Lahore",UNKNOWN,0330-4842336,1800000.0,180000.0,ATL,Driver,Salary,Cash,0,True,FBR-1039,1,1000.0,Suzuki WagonR,Local,0.0,2025,1,23764019.0,10.0,Registry,,Approved,1,2,2025,,33945.0,407340.0,25964019.0,42.8,LOW,"Benami Proxy, Dc Underinvoicing",25964019.0
PK-0034,Hina Hassan,Peshawar,"House 94, G-10, Peshawar",UNKNOWN,0348-5358607,0.0,0.0,Non-ATL,Housewife,Business,Cash,6,True,FBR-1239,5,2700.0,Toyota Fortuner,Local,0.0,2026,4,71195484.0,39.0,Transfer Letter,,Unapproved,4,2,2025,,29985.166666666668,359822.0,121195484.0,76.7,HIGH,"Benami Proxy, Dc Underinvoicing, Hawala Signature",121195484.0
PK-0035,Imran Nawaz,Rawalpindi,"House 112, Gulberg, Rawalpindi",UNKNOWN,0349-1687914,480000.0,48000.0,Non-ATL,Student,Agriculture,Savings,6,True,FBR-1041,1,1300.0,Honda City,Local,0.0,2021,1,3689495.0,20.0,Allotment Letter,,Approved,1,2,2025,,9899.0,118788.0,6689495.0,57.5,MEDIUM,"Benami Proxy, Dc Underinvoicing, File Trading",6689495.0
PK-0036,Ahmed Nawaz,Faisalabad,"House 83, Johar Town, Faisalabad",UNKNOWN,0346-3650960,240000.0,24000.0,Non-ATL,Housewife,Prize Bond,Savings,4,False,FBR-1381,2,2700.0,Toyota Corolla,Local,0.0,2019,1,6504895.0,10.0,File,,Approved,1,2,2025,,28330.75,339969.0,26504895.0,62.1,MEDIUM,"Benami Proxy, Hawala Signature, Dc Underinvoicing",26504895.0
PK-0037,Ali Siddiqui,Rawalpindi,"House 79, Gulberg, Rawalpindi",UNKNOWN,0319-9897994,240000.0,24000.0,Non-ATL,Student,Agriculture,Cash,0,True,FBR-1043,1,660.0,Suzuki Alto,Local,0.0,2019,1,25215481.0,5.0,Transfer Letter,,Approved,1,2,2025,,36895.0,442740.0,26015481.0,62.4,MEDIUM,"Benami Proxy, Dc Underinvoicing, Hawala Signature",26015481.0
PK-0038,Zainab Rizvi,Peshawar,"House 8, Johar Town, Peshawar",UNKNOWN,0320-1992791,1800000.0,180000.0,ATL,Student,Agriculture,Gift,0,True,FBR-1044,2,2700.0,Honda Civic,Imported,0.0,2026,2,22076420.0,19.0,File,,Approved,2,2,2025,,47581.5,570978.0,42076420.0,66.2,HIGH,"Benami Proxy, Dc Underinvoicing, Gift Declaration",42076420.0
PK-0039,Tariq Hassan,Faisalabad,"House 101, Pechs, Faisalabad",UNKNOWN,0315-1361950,240000.0,24000.0,Non-ATL,Businessman,Agriculture,Gift,1,False,FBR-1300,2,2000.0,Toyota Prado,Imported,0.0,2023,1,22743073.0,14.0,Transfer Letter,,Approved,1,2,2025,,21834.0,262008.0,38743073.0,61.9,MEDIUM,"Hawala Signature, Dc Underinvoicing, Gift Declaration",38743073.0
PK-0040,Ali Khan,Karachi,"House 32, Bahria Town, Karachi",UNKNOWN,0327-6189040,240000.0,24000.0,Non-ATL,Doctor,Business,Cash,3,True,FBR-1383,1,660.0,Suzuki Alto,Local,0.0,2026,1,17916987.0,7.0,Transfer Letter,,Approved,1,2,2025,,44268.0,531216.0,18716987.0,53.1,MEDIUM,"Dc Underinvoicing, Benami Proxy, File Trading",18716987.0
PK-0041,Nadia Baig,Islamabad,"House 106, Nazimabad, Islamabad",UNKNOWN,0336-2954180,3000000.0,300000.0,Non-ATL,Housewife,Business,Prize Bond,4,True,FBR-1066,2,2000.0,Toyota Prado,Local,0.0,2025,2,30900307.0,19.0,Transfer Letter,,Unapproved,2,2,2025,,27947.666666666668,335372.0,46900307.0,69.2,HIGH,"Benami Proxy, Dc Underinvoicing, File Trading",46900307.0
PK-0042,Fatima Khan,Islamabad,"House 117, Clifton, Islamabad",UNKNOWN,0333-9982371,3000000.0,300000.0,ATL,Student,Rental,Foreign Remittance,0,True,FBR-1050,2,2700.0,Toyota Fortuner,Local,0.0,2022,2,39340547.0,17.0,Transfer Letter,,Approved,2,2,2025,,31260.33333333333,375124.0,59340547.0,67.2,HIGH,"Benami Proxy, Dc Underinvoicing, Section 111 Abuse",59340547.0
PK-0043,Waseem Sheikh,Rawalpindi,"House 8, Pechs, Rawalpindi",UNKNOWN,0310-8928794,480000.0,48000.0,Non-ATL,Housewife,Salary,Prize Bond,3,True,FBR-1051,2,1800.0,Toyota Corolla Grande,Local,0.0,2023,2,44146039.0,28.0,Registry,,Approved,2,2,2025,,29696.666666666668,356360.0,54146039.0,63.2,MEDIUM,"Benami Proxy, Dc Underinvoicing, Hawala Signature",54146039.0
PK-0044,Hamza Mirza,Peshawar,"House 149, Clifton, Peshawar",UNKNOWN,0325-7966573,480000.0,48000.0,Non-ATL,Teacher,Rental,Foreign Remittance,2,False,FBR-1449,3,2700.0,Toyota Prado,Local,0.0,2025,2,50656957.0,30.0,File,,Unapproved,2,2,2025,,31835.75,382029.0,80656957.0,66.1,HIGH,"Hawala Signature, Dc Underinvoicing, Section 111 Abuse",80656957.0
PK-0045,Ali Iqbal,Peshawar,"House 108, Gulberg, Peshawar",UNKNOWN,0324-1132841,240000.0,24000.0,Non-ATL,Retired,Business,Gift,0,True,FBR-1053,1,1500.0,Toyota Yaris,Imported,0.0,2025,1,16567048.0,7.0,Registry,,Unapproved,1,2,2025,,46184.0,554208.0,19567048.0,60.6,MEDIUM,"Benami Proxy, Dc Underinvoicing, Illegal Society",19567048.0
PK-0046,Amna Iqbal,Lahore,"House 124, Nazimabad, Lahore",UNKNOWN,0331-1156418,480000.0,48000.0,Non-ATL,Unemployed,Salary,Savings,3,True,FBR-1054,3,1500.0,Toyota Yaris,Local,0.0,2023,2,36575091.0,25.0,Allotment Letter,,Approved,2,2,2025,,36953.5,443442.0,45575091.0,64.6,MEDIUM,"Benami Proxy, Dc Underinvoicing, Hawala Signature",45575091.0
PK-0047,Zubair Javed,Islamabad,"House 45, F-7, Islamabad",UNKNOWN,0336-2967161,1800000.0,180000.0,Non-ATL,Housewife,Rental,Gift,1,True,FBR-1055,1,2000.0,Toyota Prado,Local,0.0,2024,1,22347257.0,10.0,File,,Pending,1,2,2025,,32915.0,394980.0,30347257.0,60.9,MEDIUM,"Benami Proxy, Dc Underinvoicing, Gift Declaration",30347257.0
PK-0048,Hina Sheikh,Islamabad,"House 41, Bahria Town, Islamabad",UNKNOWN,0331-4555234,960000.0,96000.0,ATL,Housewife,Business,Gift,0,True,FBR-1255,4,2700.0,Toyota Fortuner,Local,0.0,2020,2,44492305.0,21.0,Allotment Letter,,Unapproved,2,2,2025,,29254.666666666668,351056.0,84492305.0,69.3,HIGH,"Benami Proxy, Dc Underinvoicing, Gift Declaration",84492305.0
PK-0049,Muhammad Qureshi,Rawalpindi,"House 40, F-7, Rawalpindi",UNKNOWN,0347-6850693,3000000.0,300000.0,ATL,Unemployed,Business,Savings,0,False,FBR-1057,1,2000.0,Toyota Prado,Local,0.0,2025,1,4610285.0,7.0,Transfer Letter,,Approved,1,2,2025,,36830.0,441960.0,12610285.0,51.4,MEDIUM,"Benami Proxy, Dc Underinvoicing, File Trading",12610285.0
PK-0050,Muhammad Hassan,Faisalabad,"House 61, F-7, Faisalabad",UNKNOWN,0315-5550226,960000.0,96000.0,ATL,Businessman,Business,Foreign Remittance,0,False,FBR-1168,7,2700.0,Toyota Fortuner,Local,0.0,2025,4,74637983.0,42.0,Registry,,Unapproved,4,2,2025,,38633.375,463600.5,144637983.0,81.1,CRITICAL,"Dc Underinvoicing, Section 111 Abuse, Property Flipping",144637983.0
PK-0051,Fatima Javed,Faisalabad,"House 54, Hayatabad, Faisalabad",UNKNOWN,0318-4991250,3000000.0,300000.0,Non-ATL,Doctor,Prize Bond,Cash,4,True,FBR-1059,2,1800.0,Honda Civic,Local,0.0,2026,1,14502822.0,14.0,Registry,,Pending,1,2,2025,,42504.5,510054.0,24502822.0,48.6,MEDIUM,"Dc Underinvoicing, Nonfiler Surcharge, Illegal Society",24502822.0
PK-0052,Ahmed Ahmed,Rawalpindi,"House 62, Nazimabad, Rawalpindi",UNKNOWN,0348-1391412,960000.0,96000.0,Non-ATL,Unemployed,Agriculture,Gift,5,True,FBR-1293,3,1500.0,Toyota Yaris,Imported,0.0,2021,2,14342912.0,30.0,Transfer Letter,,Pending,2,2,2025,,30932.0,371184.0,23342912.0,65.5,HIGH,"Benami Proxy, Dc Underinvoicing, Gift Declaration",23342912.0
PK-0053,Tariq Abbasi,Islamabad,"House 51, G-10, Islamabad",UNKNOWN,0343-8940898,240000.0,24000.0,Non-ATL,Driver,Rental,Savings,6,True,FBR-1062,2,1300.0,Suzuki Alto,Local,0.0,2020,1,6818405.0,7.0,Transfer Letter,,Unapproved,1,2,2025,,25469.0,305628.0,12818405.0,61.9,MEDIUM,"Benami Proxy, Dc Underinvoicing, File Trading",12818405.0
PK-0054,Sana Nawaz,Rawalpindi,"House 100, G-10, Rawalpindi",UNKNOWN,0318-7498533,240000.0,24000.0,Non-ATL,Businessman,Business,Foreign Remittance,3,True,FBR-1310,4,2000.0,Toyota Corolla Grande,Imported,0.0,2026,1,23747133.0,10.0,File,,Approved,1,2,2025,,32351.666666666668,388220.0,55747133.0,67.6,HIGH,"Dc Underinvoicing, Hawala Signature, Section 111 Abuse",55747133.0
PK-0055,Zubair Ahmed,Karachi,"House 98, Nazimabad, Karachi",UNKNOWN,0327-8846981,960000.0,96000.0,Non-ATL,Businessman,Prize Bond,Cash,4,False,FBR-1346,2,3000.0,Toyota Land Cruiser,Local,0.0,2025,1,17868055.0,7.0,Transfer Letter,,Unapproved,1,2,2025,,38980.5,467766.0,47868055.0,62.9,MEDIUM,"Dc Underinvoicing, File Trading, Nonfiler Surcharge",47868055.0
PK-0056,Zubair Mirza,Peshawar,"House 47, Hayatabad, Peshawar",UNKNOWN,0321-9282667,0.0,0.0,Non-ATL,Housewife,Salary,Foreign Remittance,2,False,FBR-1273,2,2700.0,Toyota Fortuner,Local,0.0,2021,1,25227049.0,7.0,Allotment Letter,,Pending,1,2,2025,,33000.5,396006.0,45227049.0,63.4,MEDIUM,"Benami Proxy, Hawala Signature, Dc Underinvoicing",45227049.0
PK-0057,Waseem Siddiqui,Karachi,"House 120, DHA, Karachi",UNKNOWN,0322-8577918,0.0,0.0,Non-ATL,Driver,Salary,Gift,3,True,FBR-1101,2,2000.0,Toyota Prado,Local,0.0,2021,2,32203397.0,40.0,Allotment Letter,,Approved,2,2,2025,,34072.0,408864.0,48203397.0,63.1,MEDIUM,"Benami Proxy, Dc Underinvoicing, Hawala Signature",48203397.0
PK-0058,Hamza Iqbal,Islamabad,"House 34, Gulberg, Islamabad",UNKNOWN,0332-6977971,480000.0,48000.0,Non-ATL,Doctor,Business,Prize Bond,1,True,FBR-1410,1,1300.0,Honda City,Local,0.0,2022,1,6151945.0,5.0,Transfer Letter,,Pending,1,2,2025,,26957.5,323490.0,9151945.0,40.4,LOW,"Dc Underinvoicing, File Trading, Illegal Society",9151945.0
PK-0059,Fatima Qureshi,Peshawar,"House 13, Gulberg, Peshawar",UNKNOWN,0331-4573059,3000000.0,300000.0,ATL,Engineer,Agriculture,Savings,0,False,FBR-1070,2,3000.0,Honda City,Local,0.0,2022,1,16311260.0,20.0,Transfer Letter,,Approved,1,2,2025,,38143.0,457716.0,46311260.0,42.2,LOW,"Dc Underinvoicing, Agri Shield, File Trading",46311260.0
PK-0060,Hina Raza,Karachi,"House 42, Clifton, Karachi",UNKNOWN,0330-8138506,240000.0,24000.0,Non-ATL,Housewife,Agriculture,Savings,2,True,FBR-1171,4,3000.0,Toyota Yaris,Local,0.0,2026,4,51277821.0,38.0,Allotment Letter,,Unapproved,4,2,2025,,31058.0,372696.0,111277821.0,74.7,HIGH,"Benami Proxy, Dc Underinvoicing, Hawala Signature",111277821.0
PK-0061,Tariq Khan,Karachi,"House 89, F-7, Karachi",UNKNOWN,0343-7826721,3000000.0,300000.0,ATL,Retired,Salary,Cash,0,False,FBR-1073,1,2000.0,Toyota Prado,Local,0.0,2018,1,28656919.0,10.0,Registry,,Approved,1,2,2025,,16163.0,193956.0,36656919.0,45.3,MEDIUM,"Benami Proxy, Dc Underinvoicing",36656919.0
PK-0062,Ali Mirza,Faisalabad,"House 15, Hayatabad, Faisalabad",UNKNOWN,0328-8740775,3000000.0,300000.0,ATL,Engineer,Business,Prize Bond,0,True,FBR-1074,1,1000.0,Suzuki WagonR,Imported,0.0,2021,1,23023352.0,10.0,Transfer Letter,,Unapproved,1,2,2025,,59961.0,719532.0,25223352.0,45.8,MEDIUM,"Dc Underinvoicing, Illegal Society, File Trading",25223352.0
